col,OPC,EN,Microglia,oRG,Vascular,IN,IPC-EN,RG
ACYP2,-0.49108643719959005,-0.6000480655075723,-0.6916219694379537,-0.6108795875141464,-0.5751852080327178,-0.3903560247951733,-0.6176806986235306,-0.4518225364036541
ADA,0.8749298011762132,0.8752939914121871,-0.01733247943369418,0.9949719034489429,2.0744253927780343,2.2844614546283464,0.5346130017939567,1.9433964359668652
ADAM15,-0.6574977603275602,-0.6358384891216967,-0.6916219694379537,-0.6604307669156356,-0.7628347654055366,-0.3903560247951733,-0.644438971708641,-0.4518225364036541
ADAR,-0.3603132905518118,-0.4819452683107433,-0.5656454019541821,-0.4795941784703152,-0.4178139299779873,-0.3161489918242253,-0.48106693281416224,-0.4518225364036541
ADD1,-0.40458997697700294,-0.16757131475074047,-0.6916219694379537,-0.11920725348530835,0.8260981302162345,-0.3178063640482768,-0.3598556383960937,-0.36089257337395325
ADD2,-0.588077387389749,-0.5616966425597156,-0.6916219694379537,-0.5537683830851259,-0.6297997531147305,-0.32901954654806687,-0.5684070903882146,-0.4518225364036541
ADD3,-0.560270494310075,-0.6364365685241091,-0.6916219694379537,-0.5671129439492565,0.49846531955730533,-0.3903560247951733,-0.6302345115780926,-0.40585074537712007
ADH5,1.7509301115445508,2.018517032645097,0.4623784331848769,2.1269160642129514,2.1413346959881854,0.34830685335847456,2.0730876615786005,0.8648860526790384
ADK,-0.5452924761604334,-0.3754134323296218,-0.624405259672452,0.3206221149802989,0.748762072718201,-0.35622013172060313,0.030643061936844913,-0.11617384652515918
ADNP,-0.6574977603275602,-0.5541830813010208,-0.6916219694379537,-0.6932351748606262,-0.7628347654055366,-0.3287569539694343,-0.5139511327255296,-0.4518225364036541
AFG3L2,-0.4311377395139098,-0.520607649522965,-0.10584408392960586,-0.5470782334927208,-0.35729690929691044,-0.3903560247951733,-0.5766376349496526,-0.3860023832353168
AGA,-0.6574977603275602,-0.7036941657441096,-0.5848302991524719,-0.6741532508694635,-0.6586337156820903,-0.36897606536074196,-0.6802733844188956,-0.4518225364036541
AGK,-0.6574977603275602,-0.6559818137868977,-0.6218342242246591,-0.6621707633257116,-0.7628347654055366,-0.3903560247951733,-0.6514729567009475,-0.4518225364036541
AGL,-0.49090245966461205,-0.3716922407765857,-0.6916219694379537,-0.5754780682130441,-0.5877718302273033,-0.30766119888324805,-0.45251471654489256,-0.3719007078492013
AGO1,-0.4379294650095872,-0.2741317217060883,-0.5479053654783531,-0.5281803125147695,-0.6203740478042594,-0.3324298914851711,-0.46458965239297173,-0.3811924870874961
AGO3,-0.4574738492479709,-0.5700789853161184,-0.4141031432156371,-0.5932910243737218,-0.5349547084865538,-0.3903560247951733,-0.6131433666210976,-0.3972557991675204
