gene_id,colors
TIA1,yellow
DNAJA1,greenyellow
UQCRC1,yellow
ATIC,black
HNRNPH3,greenyellow
HNRNPH1,blue
CASP14,black
YWHAB,greenyellow
SFN,greenyellow
STIP1,magenta
S100A11,tan
PRDX2,magenta
RPL9P9,black
KIF5B,blue
DUT,black
MCM4,black
MCM5,black
MCM7,black
SHMT2,black
HSPA4,yellow
PFN2,greenyellow
CTNNA1,tan
CTNNB1,tan
PHB1,black
SERPINB6,tan
RDX,black
RPA3,black
RPL22,black
AGL,greenyellow
MYH9,yellow
MYH10,yellow
COPB2,blue
ADD1,greenyellow
BSG,magenta
DEK,yellow
GLRX,greenyellow
PSMC2,yellow
ARL3,yellow
ATP5F1C,black
ATP6V1E1,greenyellow
RPL4,black
PPP1CC,tan
DLST,yellow
SRP14,yellow
FDFT1,tan
TAGLN2,black
TALDO1,yellow
RBMX,greenyellow
ATP6V1A,blue
HSPA9,black
EIF4A3,black
RPS19,black
RPL3,black
DDOST,black
ANP32A,greenyellow
FEN1,black
CAPG,tan
CCT6A,yellow
RPL13A,black
ARL1,tan
MDH1,yellow
MDH2,greenyellow
HADHA,black
EIF2S3;EIF2S3B,tan
GARS1,blue
IARS1,tan
ECI1,black
TMPO,greenyellow
HAL,greenyellow
ACAA2,black
PAFAH1B1,yellow
MATR3,greenyellow
SSR1,tan
RANBP1,black
NAMPT,greenyellow
PSMC4,blue
VDAC2,yellow
CBX5,black
USP5,yellow
MKI67,black
RANGAP1,black
NSF,tan
RPL27A,greenyellow
RPL5,black
RPL21,black
RPL28,black
RPS9,black
RPS5,black
RPS10,magenta
MAP1B,greenyellow
GNPDA1,black
IQGAP1,tan
STT3A,greenyellow
CAPZA2,blue
CAPZB,yellow
QARS1,tan
LGALS7B,greenyellow
ATP5PO,yellow
ME1,greenyellow
ARCN1,tan
LSS,tan
PSMD8,yellow
GSS,blue
CCT5,yellow
NES,magenta
CSNK1A1,tan
IDH2,magenta
MARCKSL1,blue
ALDH9A1,black
RPL34,tan
LMAN1,greenyellow
NASP,magenta
FASN,black
CCT3,yellow
TUFM,yellow
ALDH7A1,black
SRP9,greenyellow
SARS1,yellow
PSMB3,blue
PSMB2,yellow
MCM2,magenta
ACADVL,tan
TMED10,black
HINT1,blue
NUP153,magenta
GMPS,black
LIG3,tan
GDI2,greenyellow
EMD,tan
SERPINH1,tan
ST13;ST13P5,black
DNM2,blue
RPL14,black
CCT8,magenta
CCT4,yellow
ATP1A2,tan
ANXA11,greenyellow
FXR1,yellow
RAB7A,yellow
PLCD1,greenyellow
SSR4,black
BCAP31,blue
