col,oRG,EN,IPC-EN,IN,RG,Microglia,Vascular,OPC
ACYP1,0.16414765266977818,0.1533078331311984,0.23143712704680086,0.07482648105608757,0.22364170798403993,0.025119185017148434,0.03529462305538618,0.041313408112844424
ACYP2,0.45880386748480273,0.3083601644888957,0.3810992444631425,0.20377025493858597,0.29255498699361915,0.11702121397882155,0.1337804818887709,0.21271745945079637
ADA,0.018143086137887524,0.00106511978100228,0.005722150185938879,0.0014410544294385557,0.017026040391297115,0.006872564113200591,0.24251724723716675,0.0
ADAM15,0.441536628869094,0.18619889126350822,0.08452239033226658,0.0683378227464073,0.2404588464831604,0.05057203302482489,0.0709240333592767,0.1614432738758574
ADAR,1.001902799928697,1.0471965398542478,1.1541744064976727,0.620103683098484,0.7707134810085874,0.3357300504801907,0.368182773750411,0.4043208836460503
ADD1,1.4789759257438413,1.373215888061241,1.3270017973113994,1.093332355095155,1.0895920287718608,0.45453143547736863,0.7635718422245245,0.5943240072270228
ADD2,0.5959543669503067,1.4911556714372622,0.9404913557271839,0.745604425231532,0.4843210511828635,0.2830825816329422,0.22397944811917367,0.3063628911753773
ADD3,0.3908891033736922,0.3606939157224311,0.3747806909419652,0.06630728550521771,0.46472141813210516,0.0833049268347271,0.30126656718922235,0.18292486900741575
ADGRV1,1.789020487942817,0.358017801069294,0.9948181538393011,0.045325677115264015,1.0990064086797446,0.2137152995947927,0.11874119790049376,0.21159230026672085
ADH5,0.5425171982516392,0.3986153877175014,0.5622758232767241,0.197055465829611,0.394289772262118,0.1018852107292029,0.15355520133269632,0.21497525141748905
ADK,0.7818662374398011,0.25265485403716725,0.42339180605374716,0.13146557622245997,0.5231499067521843,0.11611323780400434,0.22953412951563235,0.18976556605477168
ADNP,0.6219259050945781,0.7857542504620635,1.0274574030521515,0.49861074182029147,0.5502525422049659,0.1827276517923871,0.22373913830758185,0.3365080942976904
AFDN,0.99128019991506,1.7034044034522051,1.8063836534334152,1.626857322600547,0.8685016994975815,0.47708217957740606,0.3538929370075071,0.5010639749897445
AFG3L2,0.41737892103126634,0.3776477380784965,0.4015985092129518,0.12986127434235423,0.3370993461086877,0.1136491535715836,0.1626944773954314,0.13199582251286762
AGA,0.28411128791083223,0.07346483566532573,0.1637511513332288,0.030470897769304707,0.23362699663961906,0.04468126378493865,0.04306415833592444,0.07232089968320349
AGK,0.22573740206948012,0.24302866851508848,0.22609485365231474,0.14465947434732915,0.17284010495731955,0.05670345245847229,0.07108903268357174,0.09986317175843311
AGL,0.23883751259828542,0.27594690384219783,0.17268838663898642,0.14452608068826267,0.14426037545532597,0.07487625466392293,0.06095177967520933,0.09068241440002324
AGO1,0.7304976285840572,0.8066573972940745,1.3564226426913057,0.414731021471147,0.5286728908175498,0.2621811400858027,0.21193912245649774,0.4097160666465213
